Code,Country,Discipline,Event,Gender,Medal,Name,NOC,Rank,Sport,Age,F1
1350409,France,HBL,Men Team,Male,Gold,ABALO Luc,FRA,1,Handball,36,14
1310126,United States,BSB,Softball Team,Female,Silver,ABBOTT Monica,USA,2,Baseball/Softball,36,22
1306348,Egypt,KTE,Women's Kumite +61kg,Female,Gold,ABDELAZIZ Feryal,EGY,1,Karate,22,32
1401953,Belgium,ATH,Men's Marathon,Male,Bronze,ABDI Bashir,BEL,3,Athletics,32,39
1321507,Indonesia,WLF,Men's 73kg,Male,Bronze,ABDULLAH Rahmat Erwin,INA,3,Weightlifting,20,52
1285952,Uzbekistan,WRE,Men's Freestyle 74kg,Male,Bronze,ABDURAKHMONOV Bekzod,UZB,3,Wrestling,31,65
1315347,Japan,JUD,Men -66 kg,Male,Gold,ABE Hifumi,JPN,1,Judo,23,66
1315347,Japan,JUD,Mixed Team,Male,Silver,ABE Hifumi,JPN,2,Judo,23,67
1315319,Japan,JUD,Women -52 kg,Female,Gold,ABE Uta,JPN,1,Judo,21,69
1315319,Japan,JUD,Mixed Team,Female,Silver,ABE Uta,JPN,2,Judo,21,70
1469699,Canada,DIV,Women's Synchronised 3m Springboard Team,Female,Silver,ABEL Jennifer,CAN,2,Diving,29,75
1406250,Russia,GAR,Men's Vault,Male,Silver,ABLIAZIN Denis,ROC,2,Artistic Gymnastics,29,87
1406250,Russia,GAR,Men's Team,Male,Gold,ABLIAZIN Denis,ROC,1,Artistic Gymnastics,29,90
1351464,Brazil,FBL,Men Team,Male,Gold,ABNER,BRA,1,Football,21,91
1469883,New Zealand,ATH,Women's Shot Put,Female,Bronze,ADAMS Valerie,NZL,3,Athletics,36,139
1382524,Turkey,WRE,Women's Freestyle 76kg,Female,Bronze,ADAR Yasemin,TUR,3,Wrestling,29,141
1312780,United States,BKB,Men Team,Male,Gold,ADEBAYO Bam,USA,1,Basketball,24,142
1476195,Netherlands,ATH,Men's 4 x 400m Relay Team,Male,Silver,AGARD Terrence,NED,2,Athletics,31,165
1313716,Japan,BSB,Softball Team,Female,Gold,AGATSUMA Haruka,JPN,1,Baseball/Softball,26,167
1403697,France,JUD,Women -63 kg,Female,Gold,AGBEGNENOU Clarisse,FRA,1,Judo,28,168
1403697,France,JUD,Mixed Team,Female,Gold,AGBEGNENOU Clarisse,FRA,1,Judo,28,169
1439675,Azerbaijan,KTE,Men's Kumite -75kg,Male,Silver,AGHAYEV Rafael,AZE,2,Karate,36,176
1338146,Brazil,JUD,Women -78 kg,Female,Bronze,AGUIAR Mayra,BRA,3,Judo,30,182
1309993,United States,BSB,Softball Team,Female,Silver,AGUILAR Ali,USA,2,Baseball/Softball,25,184
1314322,Spain,HBL,Men Team,Male,Bronze,AGUINAGALDE AQUIZU Julen,ESP,3,Handball,38,187
1300068,Mexico,FBL,Men Team,Male,Bronze,AGUIRRE Eduardo,MEX,3,Football,23,188
1300069,Mexico,FBL,Men Team,Male,Bronze,AGUIRRE Erick,MEX,3,Football,24,189
1300377,Mexico,DIV,Women's Synchronised 10m Platform Team,Female,Bronze,AGUNDEZ GARCIA Gabriela,MEX,3,Diving,21,192
1432365,Canada,ATH,Men's 5000m,Male,Silver,AHMED Mohammed,CAN,2,Athletics,30,200
1333386,Germany,CSL,Men's Kayak,Male,Bronze,AIGNER Hannes,GER,3,Canoe Slalom,32,214
1320668,Indonesia,WLF,Women's 49kg,Female,Bronze,AISAH Windy Cantika,INA,3,Weightlifting,19,219
1432366,Canada,ATH,Men's 4 x 100m Relay Team,Male,Bronze,AJOMALE Bolade,CAN,3,Athletics,25,225
1313636,Japan,BKB,Women Team,Female,Silver,AKAHO Himawari,JPN,2,Basketball,22,226
1382412,Turkey,WRE,Men's Freestyle 125kg,Male,Bronze,AKGUL Taha,TUR,3,Wrestling,30,227
1406265,Russia,GAR,Women's Team,Female,Gold,AKHAIMOVA Liliia,ROC,1,Artistic Gymnastics,24,235
1298721,United States,VVO,Women Team,Female,Gold,AKINRADEWO Foluke,USA,1,Volleyball,33,240
1325285,Turkey,KTE,Men's Kumite +75kg,Male,Bronze,AKTAS Ugur,TUR,3,Karate,25,247
1302052,Cuba,TKW,Men +80kg,Male,Bronze,ALBA CASTILLO Rafael Yunier,CUB,3,Taekwondo,27,270
1467332,Netherlands,HOC,Women Team,Female,Gold,ALBERS Felice,NED,1,Hockey,21,275
1361689,Argentina,HOC,Women Team,Female,Silver,ALBERTARRIO Agustina,ARG,2,Hockey,28,276
1337826,France,BKB,Men Team,Male,Silver,ALBICY Andrew,FRA,2,Basketball,31,277
1280236,Armenia,WRE,Men's Greco-Roman 97kg,Male,Silver,ALEKSANYAN Artur,ARM,2,Wrestling,29,290
1344655,Serbia,VVO,Women Team,Female,Bronze,ALEKSIC Maja,SRB,3,Volleyball,24,291
1344167,Serbia,WPO,Men Team,Male,Gold,ALEKSIC Milan,SRB,1,Water Polo,35,292
1449831,Ukraine,SWA,Team,Female,Bronze,ALEKSIIVA Maryna,UKR,3,Artistic Swimming,20,293
1449830,Ukraine,SWA,Team,Female,Bronze,ALEKSIIVA Vladyslava,UKR,3,Artistic Swimming,20,294
1436390,Azerbaijan,BOX,Men's Light Heavy (75-81kg),Male,Bronze,ALFONSO DOMINGUEZ Loren Berto,AZE,3,Boxing,26,305
1437010,Azerbaijan,WRE,Men's Freestyle 65kg,Male,Silver,ALIYEV Haji,AZE,2,Wrestling,30,333
1888994,United States,BSB,Baseball Team,Male,Silver,ALLEN Nick,USA,2,Baseball/Softball,22,350
1459019,United States,ATH,Women's Discus Throw,Female,Gold,ALLMAN Valarie,USA,1,Athletics,26,353
1406770,Jordan,KTE,Men's Kumite -67kg,Male,Bronze,ALMASATFA Abdel Rahman,JOR,3,Karate,25,359
1361688,Argentina,HOC,Women Team,Female,Silver,ALONSO Agostina,ARG,2,Hockey,25,370
1895506,Kuwait,SHO,Skeet Men,Male,Bronze,ALRASHIDI Abdullah,KUW,3,Shooting,57,378
1300227,Mexico,FBL,Men Team,Male,Bronze,ALVARADO Roberto,MEX,3,Football,22,401
1443717,Dominican Republic,BSB,Baseball Team,Male,Bronze,ALVAREZ Dario,DOM,3,Baseball/Softball,32,404
1460131,United States,BSB,Baseball Team,Male,Silver,ALVAREZ Eddy,USA,2,Baseball/Softball,31,405
1306602,Cuba,BOX,Men's Feather (52-57kg),Male,Bronze,ALVAREZ Lazaro,CUB,3,Boxing,30,408
1294470,Mexico,ARC,Mixed Team,Male,Bronze,ALVAREZ Luis,MEX,3,Archery,30,410
1362706,Argentina,RUG,Men Team,Male,Bronze,ALVAREZ Santiago,ARG,3,Rugby Sevens,27,413
1351502,Brazil,FBL,Men Team,Male,Gold,ALVES Dani,BRA,1,Football,38,414
